image_url,review_count,rating_stars,url,postal_code,phone,address_locality,date_created,price_range,hours_range,street_address
,,,http://www.yelp.de/adredir?ad_business_id=DXVtKFvt-4UECrQ8WKlOSA&placement=above_search&redirect_url=http%3A%2F%2Fwww.yelp.de%2Fbiz%2Ffamiliencaf%25C3%25A9-kunterbunt-berlin&request_id=ac64c2ec163b36cb&signature=3f2b34d7d9b6c392dcf1f303d3d65d0f3d9c40b8def1e03dff8bb802dd8f2018&slot=0&click_origin=search_results,,,,2015-12-18 03:20:02.103098,,,
"http://s3-media3.fl.yelpcdn.com/bphoto/GLBoS1TWUEC-aa7Jz9IGIg/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/7zGsgwMCeTlgqp3ZZPik1g/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/M38FhdE0g65ckzguW-uy1A/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/jPogJvmhHGlRh1vCjhcX9g/180s.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/dAFrbeH7vy96Du_xTQ0EJQ/180s.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/DUgK38MzIVLFhYrXGD9WlQ/180s.jpg",10,2.5 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-96?search_key=40871,10627,"
        030 32701930
    ",Berlin,2015-12-18 03:20:09.934282,Unter 10 €,"08:00, - ,04:00",Kantstr. 111a
"http://s3-media1.fl.yelpcdn.com/bphoto/iz5QEZ8Hv8ao_3kdjN4a8A/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/eM8CU1w7Ewv7BGZe7jG2EQ/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/nH6JvrMYuFY1CdGspFFtzA/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/5VY0Dz1wd3ujV0zBYfK-HQ/180s.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/E16QnL0dKMCP3mi1MvOlcQ/180s.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/qL017sy4XVE1nr2p0230Kw/180s.jpg",16,2.5 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-8?search_key=40871,10997,"
        030 61073338
    ",Berlin,2015-12-18 03:20:13.666957,11-20 €,"07:30, - ,00:00",Wrangelstr. 35
"http://s3-media1.fl.yelpcdn.com/bphoto/xMSBpILro3nxBkP6wd9PBg/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/_LEQhCLmJRWN-OtCkzsWyg/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/tS8L_MX4X34prUGujxM8cg/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/aSQVXW9sU7-OzN0_ufnZ1A/180s.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/V0Fpyf_6Q0QnbAN0JpSifw/180s.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/EOITf1f9SYUCz7NP-YTL0w/180s.jpg",20,2.5 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-48?search_key=40871,10623,"
        030 2614733
    ",Berlin,2015-12-18 03:20:17.752536,11-20 €,,Hardenbergplatz 1a
"http://s3-media2.fl.yelpcdn.com/bphoto/Br_BvkRtrjARn9CYSJyXsw/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/-r3VTYORn9d52x29KTIEcA/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/dmKuIwQHUHpbINWF-OZe_g/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/8e0M5fqyiEvpxyQxfab2ng/180s.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/cUdBxaJcduKJkChFxp4qTg/180s.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/8alIyO9ZpTghOCAou45thQ/180s.jpg",5,3.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-84?search_key=40871,10719,"
        030 81825792
    ",Berlin,2015-12-18 03:20:20.687274,Unter 10 €,"07:00, - ,04:00",Kurfürstendamm 15
"http://s3-media3.fl.yelpcdn.com/bphoto/WFdbg7i2auWR3X8seLMJ7g/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/Wwg1siEzYnf2xkXFBvk3ig/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/MkpYERnH0gk_6E-dNxezrg/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/nsxPS9YyvQ9iDqd7RCEvZA/180s.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/x0vC4m88TcwcziwNtDEW2A/180s.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/FfxhghMipWb-bM6d_mf6pQ/180s.jpg",10,3.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-58?search_key=40871,10315,"
        030 51097093
    ",Berlin,2015-12-18 03:20:24.650893,11-20 €,,Alt-Friedrichsfelde 61
"http://s3-media2.fl.yelpcdn.com/bphoto/VbaAwN0krk0P-bpnG_RxuQ/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/VPaiAj_-QJ1d3ThSroIc1w/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/DB3CVBug9WMbMRtyVj8edQ/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/7RBSW9LoU6uukggor82I7g/180s.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/a4rot8oKd-JPgNVc0HD2eg/180s.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/tRqbMjxnBE3O_p9--p2Hlg/180s.jpg",6,3.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-50?search_key=40871,12351,"
        030 6023056
    ",Berlin,2015-12-18 03:20:26.776829,11-20 €,"07:00, - ,04:00",Rudower Str. 100
http://s3-media1.fl.yelpcdn.com/bphoto/mmofBe_vt3_qHlqtqB5ZUw/ls.jpg,8,4.5 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-73?search_key=40871,12559,"
        030 34354008
    ",Berlin,2015-12-18 03:20:30.712280,Unter 10 €,"08:00, - ,00:00",Wendenschloßstr. 2
"http://s3-media2.fl.yelpcdn.com/bphoto/D8K60f7dkyR-irisUSTSfQ/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/CIPdCIFcPOc8V7fa7kRGng/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/RktqLQe-ZwusiIRn-IHZ7g/ls.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/bYnalH2aSVDaeZ-9kdGOfA/180s.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/3R4GGMrxIK8fDoyYotwZaw/180s.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/vmOYytow15mQkYskdR5HdQ/180s.jpg",13,3.0 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-54?search_key=40871,14197,"
        030 89725383
    ",Berlin,2015-12-18 03:20:34.295453,11-20 €,"07:00, - ,03:00",Mecklenburgische Str. 65-68
"http://s3-media1.fl.yelpcdn.com/bphoto/hLXbXgBTpnQ41KtE5drjjw/ls.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/8Am63gtSq89P9ypOz3qiqg/ls.jpg,http://s3-media4.fl.yelpcdn.com/bphoto/GF5nwo9dBKKqtbGxZ_or2g/ls.jpg,http://s3-media2.fl.yelpcdn.com/bphoto/CvNuVcviHZnsFsQqItwK-w/180s.jpg,http://s3-media1.fl.yelpcdn.com/bphoto/oEcw_lsVEmweQouBevWCKQ/180s.jpg,http://s3-media3.fl.yelpcdn.com/bphoto/vOm_7xuluGbVC5MpywJm0A/180s.jpg",29,2.5 Sterne,http://www.yelp.de/biz/mcdonalds-berlin-18?search_key=40871,10243,"
        030 29364913
    ",Berlin,2015-12-18 03:20:37.971789,11-20 €,,Am Ostbahnhof 9
